SKU,Product Name,Description,Short Description,Rate,Compare At Price,Category,Tags,URL Handle,SEO Title,SEO Description,Specifications,Stock On Hand,Reorder Level,HSN/SAC,Weight (g),Status,Track Inventory,Is Returnable,Featured,Image URLs
ADV-24K-GOLD-ELIXIR-FACE-OIL-SERUM,24K Gold Elixir Face Oil Serum,"1. Boosts Natural Radiance & Glow
Powered by Rosehip, Manjistha, and Licorice Extracts, this serum works at a cellular level to revive dull skin and enhance natural luminosity. Organic fruit acids gently renew the surface, giving a visible glow without irritation.
2. Firms & Tightens the Skin
Enriched with Gotu Kola, Ashwagandha, and Frankincense Oil, it helps boost collagen production and improve elasticity, reducing the appearance of fine lines and early wrinkles for firmer, youthful skin.
3. Deep Nourishment, Zero Greasiness
The feather-light blend of Squalane, Grapeseed, and Jojoba Oils absorbs instantly, locking in moisture without clogging pores. Skin feels soft, smooth, and hydrated all day.
4. Reduces Pigmentation & Uneven Tone
Licorice, Manjistha, and Mandelic Acid target sun spots, dullness, and uneven patches to reveal a brighter, even-toned complexion over time.
5. Strengthens Skin Barrier & Prevents Aging Damage
Pomegranate, Sea Buckthorn, and Vitamin E protect against oxidative stress and environmental damage, fortifying the skin’s natural defense system.
6. Soothes Stress & Balances Skin Energy
Infused with pure Geranium, Rose, and Frankincense essential oils, it calms the mind and skin simultaneously, making your skincare ritual a moment of Ayurvedic balance and serenity.
7. Ayurvedic + Modern Synergy
The perfect fusion of time-tested Ayurvedic botanicals and modern bio-actives that deliver visible results — radiant, lifted, youthful-looking skin with every drop.","Featherlight elixir that firms, brightens and nourishes for timeless glow.",1950.00,,Face,Face,24k-gold-elixir-face-oil-serum,24K Gold Elixir Face Oil Serum,"Featherlight elixir that firms, brightens and nourishes for timeless glow.","Squalane (Olive Derived), Simmondsia Chinensis (Jojoba) Seed Oil, Rosa Canina (Rosehip) Seed Oil, Vitis Vinifera (Grapeseed) Seed Oil, Punica Granatum (Pomegranate) Seed Oil, Hippophae Rhamnoides (Sea Buckthorn) Oil, Withania Somnifera (Ashwagandha) Root Extract, Rubia Cordifolia (Manjistha) Root Extract, Centella Asiatica (Gotu Kola) Extract, Curcuma Longa (Turmeric) Root Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Lactic Acid, Mandelic Acid, Tocopherol (Vitamin E), Pelargonium Graveolens (Geranium) Oil, Boswellia Carterii (Frankincense) Oil, Rosa Damascena Flower Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract (Natural Antioxidant), Natural Fragrance (Botanical Blend).",0,5,33049990,,active,true,true,true,https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-07-02/1783001024535-24k-gold-elixir-face-oil-serum.png | https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-07-02/1783001035163-24k-gold-elixir-face-oil-serum.png | https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-07-02/1783001042670-24k-gold-elixir-face-oil-serum.png
ADV-24K-GOLD-GLOWING-GEL,24K Gold Glowing Gel,"A modern Ayurvedic blend for instant calm, clarity, and skin renewal.

Product Benefits

Instant Cooling Relief:
Menthol, cucumber, and peppermint extracts deliver a refreshing cooling sensation that calms irritation, redness, and heat-triggered sensitivity.

Balances & Brightens Skin Tone:
Niacinamide and Licorice Root extract visibly reduce dullness, dark spots, and uneven pigmentation for a clearer, radiant complexion.

Fights Acne & Inflammation Naturally:
Azelaic Acid, Neem, and Tulsi extracts work together to purify pores, fight bacterial growth, and soothe breakouts without dryness.

Deep Hydration Without Stickiness:
Aloe Vera, Hyaluronic Acid, and D-Panthenol lock in moisture while keeping the skin light, smooth, and breathable.

Repairs & Strengthens Skin Barrier:
Gotu Kola and Manjistha promote cell renewal, boost collagen synthesis, and enhance natural healing.

Stress-Relief Aromatherapy:
The soft herbal-mint aroma cools both skin and senses, leaving a refreshing, spa-like afterfeel.

Perfect for All Skin Types:
Especially beneficial for oily, acne-prone, and sensitive skin; balances sebum while maintaining hydration.

100% Vegan | Ayurvedic | Free from Parabens, Silicones & Sulphates

Ideal For:

Post-sun exposure or after workouts

Calming irritated, inflamed, or acne-prone skin

Restoring glow after stress or fatigue

Daily hydration during hot & humid seasons","Cooling Ayurvedic gel that calms, clears, and deeply hydrates skin.",999.00,,Face,Face,24k-gold-glowing-gel,24K Gold Glowing Gel,"Cooling Ayurvedic gel that calms, clears, and deeply hydrates skin.","Aloe Barbadensis Leaf Juice, Rosa Damascena Flower Water, Aqua (Water), Cucumis Sativus (Cucumber) Fruit Extract, Niacinamide, Azelaic Acid, Centella Asiatica Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Azadirachta Indica (Neem) Leaf Extract, Ocimum Sanctum (Tulsi) Leaf Extract, Rubia Cordifolia (Manjistha) Root Extract, Emblica Officinalis (Amla) Fruit Extract, Glycerin, Sodium PCA, Propylene Glycol, Carbomer, Triethanolamine, Menthol, D-Panthenol (Pro-Vitamin B5), Sodium Hyaluronate, Phenoxyethanol, Ethylhexylglycerin, Mentha Piperita (Peppermint) Oil, Eucalyptus Globulus Leaf Oil, Disodium EDTA, Natural Fragrance (Herbal-Mint Blend)",37,5,33049990,,active,true,true,false,https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-07-02/1783001350662-24k-gold-glowing-gel.png | https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-07-02/1783001362578-24k-gold-glowing-gel.png | https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-07-02/1783001370495-24k-gold-glowing-gel.png
ADV-CLEANSING-DELIGHT-SOAP-PACK-OF-2,CLEANSING DELIGHT SOAP (Pack of 2),"Oatmilk helps soothe and moisturize dry, sensitive skin.

Honey acts as a natural humectant that attracts moisture and leaves skin feeling soft and supple.

Kaolin Clay gently detoxifies by removing excess oil and impurities without over-drying.

Lavender provides a calming aromatic experience while helping maintain balanced skin.

Lemon refreshes and invigorates the skin, leaving a clean and energized feeling.

The cold-pressed method helps retain the natural goodness of oils and butters, making it suitable for everyday bathing while preserving skin hydration.","A luxurious cold-pressed bathing soap enriched with nourishing botanicals for everyday cleansing, softness, and freshness.",499.00,,Body,Body,cleansing-delight-soap-pack-of-2,CLEANSING DELIGHT SOAP (Pack of 2),"A luxurious cold-pressed bathing soap enriched with nourishing botanicals for everyday cleansing, softness, and freshness.","Oatmilk Extract
Raw Honey
Kaolin Clay
Lavender Essential Oil
Lemon Essential Oil
Coconut Oil
Castor Oil
Shea Butter",37,5,34011190,,active,true,true,true,https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-07-02/1783007572456-cleansing-delight-soap-pack-of-2.png | https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-07-02/1783007678346-cleansing-delight-soap-pack-of-2.png | https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-07-02/1783007615020-cleansing-delight-soap-pack-of-2.png
ADV-COAT-FRESHENING-DEODORIZING-MIST,Coat Freshening & Deodorizing Mist,"A gentle daily freshening mist specially formulated for dogs with sensitive skin and long coats. Helps reduce body odor while leaving the coat soft, smooth, and refreshed without oily residue.

Ideal for use between baths and after grooming. Suitable for Shih Tzu, Golden Retriever, Poodle & all breeds",For Dogs • Non-Oily • Mild • Pet Safe,460.00,,Pet Care,"Pet Care, New Arrival",coat-freshening-deodorizing-mist,Coat Freshening & Deodorizing Mist,For Dogs • Non-Oily • Mild • Pet Safe,"Distilled Water, Rose Hydrosol, Chamomile Hydrosol, Vegetable Glycerin, Panthenol (Vitamin B5), Hydrolyzed Oat Protein, Zinc Ricinoleate, Polysorbate-20, Phenoxyethanol & Ethylhexylglycerin.",132,10,,,active,true,true,false,https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-06-08/1780925484579-coat-freshening-deodorizing-mist.png | https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-06-08/1780925493966-coat-freshening-deodorizing-mist.png | https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-06-08/1780925506634-coat-freshening-deodorizing-mist.png
ADV-GLOW-SKIN-TONER,Glow Skin Toner,"Hydrates Deeply Without Stickiness
Aloe Vera, Hyaluronic Acid, and Sodium PCA quench thirsty skin for an instantly plump, dewy finish.

Brightens & Revives Dull Complexion
Niacinamide, Vitamin C, and Licorice Extract fade dark spots and promote an even skin tone.

Strengthens Skin Barrier
Oat Lipids, Squalane, and Lecithin fortify the natural lipid layer to prevent moisture loss and dryness.

Soothes & Calms Sensitive Skin
Centella Asiatica and Rose Water relieve redness, irritation, and post-sun sensitivity.

Soft, Milky Texture for Everyday Luxury
A silky, semi-translucent finish that melts into skin — no greasy residue, just fresh radiance.

Daily Glow Ritual
Use morning and night to keep skin balanced, luminous, and comfortably hydrated throughout the day.","Milky hydra-bright toner that plumps, evens tone, and soothes sensitive skin.",950.00,,Face,Face,glow-skin-toner,Glow Skin Toner,"Milky hydra-bright toner that plumps, evens tone, and soothes sensitive skin.","Aqua (Distilled Water), Rosa Damascena (Rose) Flower Water, Aloe Barbadensis Leaf Juice, Cucumis Sativus (Cucumber) Extract, Niacinamide (Vitamin B3), Sodium PCA, Hyaluronic Acid, Ascorbyl Glucoside (Vitamin C), Simmondsia Chinensis (Jojoba) Seed Oil, Squalane (Olive-derived), Avena Sativa (Oat) Kernel Lipid, Lecithin, Polysorbate 20, Cetearyl Glucoside, Glycyrrhiza Glabra (Licorice) Root Extract, Centella Asiatica Extract, Tocopherol (Vitamin E), Lavandula Angustifolia (Lavender) Oil / Rosa Damascena Oil / Santalum Album (Sandalwood) Oil [optional fragrance], Dehydroacetic Acid & Benzyl Alcohol (Eco-certified preservative).

100% Vegan | No Parabens | No Silicones | No Sulphates | Cruelty-Free",48,5,33049990,,active,true,true,false,https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-06-09/1781007983139-glow-skin-toner.png | https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-06-09/1781008001676-glow-skin-toner.png | https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-06-09/1781008015489-glow-skin-toner.png
INT-INT,Intense Body Butter,"Non-Greasy Hydration:
The blend of mango butter and fractionated coconut oil ensures quick absorption without a heavy residue.

Barrier Repair & Protection:
Shea butter and panthenol work together to restore the skin’s lipid barrier, preventing moisture loss.

Skin Brightening & Tone Correction:
Niacinamide improves texture and brightens uneven skin tone with consistent use.

Anti-Aging Benefits:
Vitamin E and antioxidants protect the skin from free radicals and early signs of aging.

Soothing & Cooling Effect:
Aloe vera and glycerin soothe inflammation and give a naturally fresh feel, even in humid weather.","Fast-absorbing butter that hydrates, repairs barrier and brightens skin.",1299.00,,Body,Body,intense-body-butter,Intense Body Butter,"Fast-absorbing butter that hydrates, repairs barrier and brightens skin.","Aqua (Water), Shea Butter, Mango Butter, Cocoa Butter, Caprylic/Capric Triglyceride, Jojoba Oil, Emulsifying Wax, Aloe Vera Extract, Glycerin, Panthenol (Pro-Vitamin B5), Niacinamide, Vitamin E, Phenoxyethanol, Natural Fragrance",0,5,33049990,,active,true,true,false,https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-07-02/1783002092310-intense-body-butter.png | https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-07-02/1783002116663-intense-body-butter.png | https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-07-02/1783002122888-intense-body-butter.png
ADV-INTENSE-BRIGHTENING-ELIXIR-FACE-SERUM,Intense Brightening Elixir Face Serum,"1. Fades Pigmentation & Dark Spots:
A powerhouse blend of Vitamin C, Kojic Acid, and Alpha Arbutin helps inhibit melanin production, lightening dark spots, sun damage, and acne scars naturally over time.

2. Evens Out Skin Tone:
Niacinamide and Azelaic Acid refine uneven texture and minimize redness, revealing a visibly brighter, smoother, and more uniform complexion.

3. Boosts Radiance & Hydration:
Enriched with Hyaluronic Acid, Aloe Vera, and Panthenol, this serum deeply hydrates and plumps skin — leaving it soft, supple, and glowing.

4. Antioxidant Protection:
Green Tea, Gotu Kola, and Turmeric Extracts protect against pollution, free radicals, and premature aging, promoting youthful, resilient skin.

5. Gentle Skin Renewal:
Mild exfoliation from Mandelic & Azelaic acids helps remove dull, dead cells and promotes cell turnover without irritation, even for sensitive skin.","Potent brightening serum that fades spots, evens tone, boosts radiance.",1750.00,,Face,Face,intense-brightening-elixir-face-serum,Intense Brightening Elixir Face Serum,"Potent brightening serum that fades spots, evens tone, boosts radiance.","Vitamin C (Ethyl Ascorbic Acid 10%)
Niacinamide (5%)
Kojic Acid (2%)
Alpha Arbutin (1%)
Azelaic Acid (2%)
Mandelic Acid (1%)
Licorice Root Extract
Turmeric Extract
Gotu Kola Extract
Green Tea Extract
Hyaluronic Acid
Aloe Vera Juice
Panthenol (Vitamin B5)
Allantoin
Sodium PCA
Glycerin (plant-derived)
Aqua (Distilled Water)
Xanthan Gum (Natural Thickener)
Phenoxyethanol & Ethylhexylglycerin (Eco-certified preservative)
Natural Essential Oils for mild fragrance",73,5,33049990,,active,true,true,false,https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-07-02/1783002252992-intense-brightening-elixir-face-serum.png | https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-07-02/1783002269685-intense-brightening-elixir-face-serum.png | https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-07-02/1783002280376-intense-brightening-elixir-face-serum.png
ADV-JEEVITA-FACIAL-SOAP-PACK-OF-2,Jeevita Facial Soap(Pack of 2),"Helps improve skin brightness and natural glow.
Supports reduction of tan and uneven skin appearance.
Gently cleanses without stripping natural oils.
Promotes a smoother and healthier-looking complexion.
Rich in antioxidants that help protect against environmental stressors.
Suitable for daily facial cleansing.","Traditionally handcrafted cold-pressed facial soap enriched with Ayurvedic botanicals for naturally radiant, healthy-looking skin.",499.00,,Face,Face,jeevita-facial-soap-pack-of-2,Jeevita Facial Soap(Pack of 2),"Traditionally handcrafted cold-pressed facial soap enriched with Ayurvedic botanicals for naturally radiant, healthy-looking skin.","Turmeric (Haridra)
Manjistha
Orange Peel Powder
Mulethi (Licorice)
Coconut Oil
Castor Oil
Shea Butter
Vegetable Glycerin",38,5,34011190,,active,true,true,false,https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-07-02/1783002438280-jeevita-facial-soappack-of-2.jpg | https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-07-02/1783002446197-jeevita-facial-soappack-of-2.jpg | https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-07-02/1783002470343-jeevita-facial-soappack-of-2.jpg
ADV-ROSEMARY-WATER-HAIR-SPRAY,Rosemary Water Hair Spray,"Stimulates Hair Growth:
•Rosemary extract and caffeine work synergistically to improve microcirculation in the scalp, ensuring better nutrient delivery to follicles.
•Regular use helps awaken dormant follicles and extend the hair’s growth phase (anagen phase).

Strengthens Hair Shaft:
•Panthenol (Pro-Vitamin B5) deeply nourishes and coats hair strands, preventing breakage and split ends.
•Biotin supports keratin formation, enhancing hair density and texture over time.

Reduces Hair Fall & Dandruff:
• Niacinamide and green tea extract reduce scalp inflammation, balance sebum production, and control dandruff-causing microbes.
• Aloe vera soothes irritation, restoring a healthy scalp environment.

Non-Sticky, Lightweight Finish:
•Water-based formula absorbs instantly without weighing hair down or leaving any residue.
•Perfect for hot and humid climates (like India).

Natural Aroma Therapy:
•Gentle rosemary and mint fragrance provides a refreshing, uplifting feel, leaving hair smelling clean and naturally herbal.","Daily scalp mist that boosts growth, reduces fall and strengthens.",1490.00,,Hair,Hair,rosemary-water-hair-spray,Rosemary Water Hair Spray,"Daily scalp mist that boosts growth, reduces fall and strengthens.","(Water), Aloe Barbadensis Leaf Juice, Panthenol, Glycerin, Rosmarinus Officinalis (Rosemary) Leaf Extract, Caffeine, Biotin, Niacinamide, Hydrolyzed Pea Protein, Lavandula Angustifolia (Lavender) Flower Water, Sodium Benzoate, Potassium Sorbate, Citric Acid, Menthol.",27,5,33059090,,active,true,true,false,https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-07-02/1783002598524-rosemary-water-hair-spray.png | https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-07-02/1783002606961-rosemary-water-hair-spray.png | https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-07-02/1783002614664-rosemary-water-hair-spray.png
ADV-SUNSCREEN-SPF50,Sunscreen SPF50,"High Sun Protection
Broad spectrum SPF 50 PA+++ shields skin from UVA/UVB rays, photo-aging, and tanning.
Works well even under makeup and humid conditions.

 Hydration Without Stickiness
Aloe Vera, Hyaluronic Acid, and Panthenol lock in moisture and keep skin hydrated all day.

 No White Cast
The SPF blend and lightweight emulsion ensure it blends seamlessly into all Indian skin tones.

 Skin Soothing & Repair
Cucumber, Green Tea, and Allantoin cool and calm irritated or sun-exposed skin.

 Barrier Strengthening
Niacinamide reduces dullness, controls oil, and improves overall skin texture.","Ultra-light SPF50 that shields, hydrates, and calms skin with zero white cast.",1850.00,,Face,Face,sunscreen-spf50,Sunscreen SPF50,"Ultra-light SPF50 that shields, hydrates, and calms skin with zero white cast.","Aqua (Distilled Water), Aloe Barbadensis Leaf Juice (Aloe Vera), Niacinamide, Panthenol, Sodium Hyaluronate, Octocrylene, Butyl Methoxydibenzoylmethane (Avobenzone), Benzophenone-3, BHT, Caprylic/Capric Triglyceride, Cetearyl Olivate, Sorbitan Olivate, Cucumis Sativus (Cucumber) Extract, Camellia Sinensis (Green Tea) Leaf Extract, Allantoin, Xanthan Gum, Gluconolactone (and) Sodium Benzoate (Geogard Ultra), Fragrance (Natural), Lactic Acid (for pH adjustment).",9,5,33049990,,active,true,true,false,https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-06-09/1780999332458-sunscreen-spf50.png | https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-06-09/1780999312366-sunscreen-spf50.png | https://fomgjpqcnqpndxcawfpl.supabase.co/storage/v1/object/public/product-images/products/2026-06-09/1780999321116-sunscreen-spf50.png
